base,flags,caption,dates,show_detail,tour,images
2025-05-25_22-25-36_UTC,no date or tour found,🪿 Past Poster 🪿  / Shenanigans Night Club Movie Poster / Art by @thejamesflames,,,,2025-05-25_22-25-36_UTC.jpg
2025-05-25_22-31-19_UTC,no canonid on 2020-10-30; no canonid on 2020-10-31,"🪿 Past Poster 🪿  / 10/30-31/20 - (cancelled shows)  / Morris, CT - South Farms / Art by @thejamesflames","2020-10-30,2020-10-31","2020-10-30 South Farms (Morris, CT) | 2020-10-31 South Farms (Morris, CT)",,2025-05-25_22-31-19_UTC.jpg
2025-05-30_16-24-30_UTC,no artist credited,"🪿 Past Poster 🪿  / 9/3/24 / Boston, MA - MGM Music Hall at Fenway",2024-09-03,"2024-09-03 MGM Music Hall at Fenway (Boston, MA)",,2025-05-30_16-24-30_UTC.jpg
2025-06-01_18-45-04_UTC,no artist credited,🪿 Past Poster 🪿  / 12/23/16 / Goosemas 3,2016-12-23,"2016-12-23 Factory Underground Studio (Norwalk, CT)",,"2025-06-01_18-45-04_UTC_1.jpg,2025-06-01_18-45-04_UTC_2.jpg"
2025-06-13_12-55-49_UTC,no artist credited,🪿 Past Poster 🪿  / 1/26-28/22,"2022-01-26,2022-01-27,2022-01-28","2022-01-26 Marquee Theatre Tempe (Tempe, AZ) | 2022-01-27 The Observatory North Park (San Diego, CA) | 2022-01-28 The Fonda Theatre (Los Angeles, CA)",,"2025-06-13_12-55-49_UTC_1.jpg,2025-06-13_12-55-49_UTC_2.jpg"
2025-06-13_14-27-36_UTC,no artist credited,🪿 Past Poster 🪿  / Goosemas 4 / 12/23/17 / Peter’s First Show as Member of the Organization,2017-12-23,"2017-12-23 Factory Underground Studio (Norwalk, CT)",,2025-06-13_14-27-36_UTC.jpg
2025-06-13_14-31-29_UTC,no artist credited,"🪿 Past Poster 🪿  / 7/25-28/19 / Peach Music Festival - Show that put Goose on the radar. / Scranton, PA - Montage Mountain / (Check out the last line and you’ll see Goose)","2019-07-25,2019-07-26,2019-07-27,2019-07-28","2019-07-25 Orlando's Bar and Lounge (Burlington, VT) | 2019-07-27 The Pavilion at Montage Mountain (Scranton, PA)",,"2025-06-13_14-31-29_UTC_1.jpg,2025-06-13_14-31-29_UTC_2.jpg"
2025-06-13_20-55-45_UTC,no canonid on 2021-12-18; no artist credited,🪿 Past Poster 🪿  / Goosemas / 12/18/21 / Mohegan Sun Arena,2021-12-18,"2021-12-18 Mohegan Sun Arena (Uncasville, CT)",,"2025-06-13_20-55-45_UTC_1.jpg,2025-06-13_20-55-45_UTC_2.jpg"
2025-06-17_20-18-16_UTC,no date or tour found,Goose Summer VIP Poster / All Summer Tour Dates / Art by @schnitzelbearstudios - 18x24,,,,2025-06-17_20-18-16_UTC.jpg
2025-06-17_20-20-15_UTC,no date or tour found,Jeni’s Goose Tracks Poster / Summer 2025 / Jeni’s Ice Cream Promotional Poster - @jenisicecreams  / Art by @pupsintrouble,,,,"2025-06-17_20-20-15_UTC_1.jpg,2025-06-17_20-20-15_UTC_2.jpg"
